data_base,segmento,porte_indisponivel,carteira_ativa,operacoes,celulas_suprimidas,celulas
2019-01-31,Arrendamento,False,506075340.74,975.0,93,136
2019-01-31,Arrendamento,True,7390398.89,55.0,10,15
2019-01-31,Banco,False,65950677668.67,1279522.0,820,3351
2019-01-31,Banco,True,1509323748.42,195294.0,134,474
2019-01-31,Cooperativa,False,6558399494.23,478647.0,431,1584
2019-01-31,Cooperativa,True,13215697.12,883.0,60,96
2019-01-31,Desenvolvimento/Fomento,False,14833842786.34,13828.0,151,445
2019-01-31,Desenvolvimento/Fomento,True,27953596.86,0.0,24,24
2019-01-31,Financeira,False,565970928.15,12061.0,141,248
2019-01-31,Financeira,True,1541433.8,0.0,12,12
2019-01-31,Outros,False,11086329.93,65.0,29,31
2019-02-28,Arrendamento,False,500991633.27,997.0,91,134
2019-02-28,Arrendamento,True,9543539.82,55.0,10,15
2019-02-28,Banco,False,66249020236.02,1310066.0,813,3350
2019-02-28,Banco,True,1505757999.8700001,185897.0,128,478
2019-02-28,Cooperativa,False,6715988667.72,499566.0,447,1594
2019-02-28,Cooperativa,True,12095430.87,571.0,62,92
2019-02-28,Desenvolvimento/Fomento,False,14684620694.32,13918.0,151,430
2019-02-28,Desenvolvimento/Fomento,True,32324170.68,0.0,26,26
2019-02-28,Financeira,False,555545639.12,12208.0,141,249
2019-02-28,Financeira,True,1231187.53,0.0,13,13
2019-02-28,Outros,False,10004190.08,71.0,28,30
2019-03-31,Arrendamento,False,497520607.83,974.0,88,130
2019-03-31,Arrendamento,True,6916595.949999999,42.0,7,12
2019-03-31,Banco,False,67443384519.76,1346097.0,824,3366
2019-03-31,Banco,True,1499273162.3500001,158673.0,152,528
2019-03-31,Cooperativa,False,6713456785.99,503671.0,437,1590
2019-03-31,Cooperativa,True,16524338.87,1123.0,85,131
2019-03-31,Desenvolvimento/Fomento,False,14462145683.539999,13972.0,155,442
2019-03-31,Desenvolvimento/Fomento,True,140530297.95000002,80.0,30,35
2019-03-31,Financeira,False,574322026.39,12302.0,135,248
2019-03-31,Financeira,True,702566.52,0.0,13,13
2019-03-31,Outros,False,9784433.94,70.0,29,31
2019-04-30,Arrendamento,False,499335500.99,937.0,91,133
2019-04-30,Arrendamento,True,11947752.200000001,40.0,7,12
2019-04-30,Banco,False,66967693633.92,1345445.0,815,3354
2019-04-30,Banco,True,2417968879.38,167927.0,165,583
2019-04-30,Cooperativa,False,6773763909.59,510854.0,430,1589
2019-04-30,Cooperativa,True,15685631.3,881.0,86,129
2019-04-30,Desenvolvimento/Fomento,False,14322235426.880001,14009.0,158,445
2019-04-30,Desenvolvimento/Fomento,True,146575515.17,86.0,29,34
2019-04-30,Financeira,False,581984592.61,12564.0,136,250
2019-04-30,Financeira,True,745688.64,0.0,15,15
2019-04-30,Outros,False,10237603.55,76.0,33,35
2019-04-30,Outros,True,494.68,0.0,1,1
2019-05-31,Arrendamento,False,488686164.31,899.0,86,126
2019-05-31,Arrendamento,True,15729897.6,49.0,8,13
2019-05-31,Banco,False,66503118344.6,1367174.0,814,3343
2019-05-31,Banco,True,2582775748.36,186084.0,172,591
2019-05-31,Cooperativa,False,6849885949.06,531609.0,416,1598
2019-05-31,Cooperativa,True,23495128.94,1665.0,83,132
2019-05-31,Desenvolvimento/Fomento,False,14316712020.8,14079.0,156,445
2019-05-31,Desenvolvimento/Fomento,True,171118449.21,124.0,29,36
2019-05-31,Financeira,False,588306866.13,12792.0,126,244
2019-05-31,Financeira,True,2605505.87,27.0,18,21
2019-05-31,Outros,False,12510084.58,95.0,31,33
2019-05-31,Outros,True,1275.86,0.0,1,1
2019-06-30,Arrendamento,False,495368250.52,975.0,83,124
2019-06-30,Arrendamento,True,5928346.16,33.0,14,18
2019-06-30,Banco,False,66109471431.93,1410350.0,800,3348
2019-06-30,Banco,True,3986225835.49,172179.0,176,598
2019-06-30,Cooperativa,False,7002682290.31,543141.0,415,1618
2019-06-30,Cooperativa,True,25902196.509999998,1381.0,84,135
2019-06-30,Desenvolvimento/Fomento,False,14142046806.37,14200.0,158,447
2019-06-30,Desenvolvimento/Fomento,True,183197435.79,137.0,28,35
2019-06-30,Financeira,False,604244180.23,13130.0,130,249
2019-06-30,Financeira,True,2582013.61,28.0,16,19
2019-06-30,Outros,False,12701618.629999999,66.0,33,34
2019-07-31,Arrendamento,False,503831449.35,969.0,83,124
2019-07-31,Arrendamento,True,6865190.96,32.0,14,18
2019-07-31,Banco,False,64861596899.44,1373169.0,817,3363
2019-07-31,Banco,True,4036131847.5,187144.0,171,604
2019-07-31,Cooperativa,False,7123490808.76,540858.0,427,1636
2019-07-31,Cooperativa,True,23704940.6,1351.0,93,145
2019-07-31,Desenvolvimento/Fomento,False,13915451917.98,14389.0,153,449
2019-07-31,Desenvolvimento/Fomento,True,184909562.82,141.0,29,36
2019-07-31,Financeira,False,606300782.03,13126.0,141,258
2019-07-31,Financeira,True,2782403.95,28.0,16,19
2019-07-31,Outros,False,12309180.31,81.0,30,32
2019-08-31,Arrendamento,False,496646304.59,1015.0,80,124
2019-08-31,Arrendamento,True,5371030.5600000005,18.0,14,16
2019-08-31,Banco,False,68315455409.8,1469036.0,788,3339
2019-08-31,Banco,True,2051826327.91,102143.0,184,558
2019-08-31,Cooperativa,False,7231089237.48,551581.0,420,1630
2019-08-31,Cooperativa,True,22665355.900000002,1368.0,82,139
2019-08-31,Desenvolvimento/Fomento,False,13859321415.49,14446.0,155,450
2019-08-31,Desenvolvimento/Fomento,True,209628146.36999997,152.0,30,37
2019-08-31,Financeira,False,619546767.13,13402.0,146,268
2019-08-31,Financeira,True,2925572.31,27.0,16,19
2019-08-31,Outros,False,10340299.22,74.0,28,30
2019-09-30,Arrendamento,False,497566317.86,1013.0,77,123
2019-09-30,Arrendamento,True,5210174.45,17.0,13,15
2019-09-30,Banco,False,69952609561.89,1487482.0,783,3338
2019-09-30,Banco,True,2003595139.16,93935.0,181,547
2019-09-30,Cooperativa,False,7325349034.2300005,558358.0,427,1641
2019-09-30,Cooperativa,True,21467731.18,1352.0,77,137
2019-09-30,Desenvolvimento/Fomento,False,13775550057.390001,14538.0,151,465
2019-09-30,Desenvolvimento/Fomento,True,215545541.42,162.0,30,37
2019-09-30,Financeira,False,649868232.58,13669.0,148,271
2019-09-30,Financeira,True,2586500.4,24.0,16,19
2019-09-30,Fintech,False,249554.71,0.0,2,2
2019-09-30,Outros,False,10404283.85,73.0,25,27
2019-10-31,Arrendamento,False,507596290.48,1034.0,75,121
2019-10-31,Arrendamento,True,5650725.95,14.0,13,15
2019-10-31,Banco,False,69110307380.21,1482847.0,803,3347
2019-10-31,Banco,True,1859466370.65,80707.0,177,537
2019-10-31,Cooperativa,False,7482703195.76,567117.0,414,1630
2019-10-31,Cooperativa,True,29878073.240000002,1382.0,92,143
2019-10-31,Desenvolvimento/Fomento,False,13719099083.3,14710.0,149,469
2019-10-31,Desenvolvimento/Fomento,True,217527520.59,166.0,30,37
2019-10-31,Financeira,False,632465003.4,13646.0,147,274
2019-10-31,Financeira,True,2398719.13,23.0,16,19
2019-10-31,Fintech,False,2174994.6,7.0,10,11
2019-10-31,Outros,False,8680384.69,75.0,25,27
2019-11-30,Arrendamento,False,525044635.69,1033.0,77,119
2019-11-30,Arrendamento,True,20590371.42,19.0,13,16
2019-11-30,Banco,False,69561339414.53,1500753.0,803,3334
2019-11-30,Banco,True,2068584287.49,79872.0,176,530
2019-11-30,Cooperativa,False,7716933803.07,576230.0,430,1642
2019-11-30,Cooperativa,True,22277793.71,1387.0,92,148
2019-11-30,Desenvolvimento/Fomento,False,13681938419.09,14867.0,143,467
2019-11-30,Desenvolvimento/Fomento,True,220627195.53,170.0,30,37
2019-11-30,Financeira,False,659478767.37,13794.0,140,274
2019-11-30,Financeira,True,2065858.95,8.0,19,20
2019-11-30,Fintech,False,2557513.05,8.0,12,13
2019-11-30,Outros,False,9384801.25,75.0,28,30
2019-12-31,Arrendamento,False,454536583.56,892.0,74,111
2019-12-31,Arrendamento,True,93986405.21,141.0,18,26
2019-12-31,Banco,False,65643697208.83,1095141.0,785,3238
2019-12-31,Banco,True,7760895252.7,476241.0,161,659
2019-12-31,Cooperativa,False,7847578267.02,564450.0,443,1651
2019-12-31,Cooperativa,True,21036616.939999998,1289.0,84,143
2019-12-31,Desenvolvimento/Fomento,False,13657517797.75,14967.0,138,465
2019-12-31,Desenvolvimento/Fomento,True,223083766.51999998,172.0,30,37
2019-12-31,Financeira,False,673457174.36,13936.0,148,279
2019-12-31,Financeira,True,1708546.4000000001,8.0,14,15
2019-12-31,Fintech,False,3037649.18,16.0,13,15
2019-12-31,Outros,False,9723167.879999999,68.0,29,31
2020-01-31,Arrendamento,False,531818190.94,1021.0,77,117
2020-01-31,Arrendamento,True,19467096.849999998,20.0,14,17
2020-01-31,Banco,False,69579453509.02,1392446.0,782,3302
2020-01-31,Banco,True,3169251641.66,137340.0,179,605
2020-01-31,Cooperativa,False,8032103382.94,560927.0,423,1648
2020-01-31,Cooperativa,True,29067139.05,1019.0,93,151
2020-01-31,Desenvolvimento/Fomento,False,13328277670.08,14966.0,133,458
2020-01-31,Desenvolvimento/Fomento,True,229910119.56,176.0,30,37
2020-01-31,Financeira,False,670378657.31,13920.0,140,274
2020-01-31,Financeira,True,1520425.35,8.0,14,15
2020-01-31,Fintech,False,4078867.22,20.0,15,17
2020-01-31,Outros,False,9762433.25,69.0,28,30
2020-02-29,Arrendamento,False,539728041.72,1034.0,77,116
2020-02-29,Arrendamento,True,18057736.69,19.0,14,17
2020-02-29,Banco,False,71047592476.89,1427233.0,789,3295
2020-02-29,Banco,True,2511176764.94,116789.0,195,600
2020-02-29,Cooperativa,False,8243111402.02,571782.0,410,1651
2020-02-29,Cooperativa,True,33871092.89,1330.0,97,156
2020-02-29,Desenvolvimento/Fomento,False,13222606519.41,15133.0,137,467
2020-02-29,Desenvolvimento/Fomento,True,227933201.84,174.0,30,37
2020-02-29,Financeira,False,671154349.96,13997.0,141,274
2020-02-29,Financeira,True,1520255.07,8.0,14,15
2020-02-29,Fintech,False,4694919.8,22.0,16,18
2020-02-29,Outros,False,10701319.83,74.0,30,32
2020-03-31,Arrendamento,False,538936763.05,1044.0,78,116
2020-03-31,Arrendamento,True,10562933.75,19.0,13,16
2020-03-31,Banco,False,76827576619.97,1423905.0,794,3307
2020-03-31,Banco,True,4579384701.34,101410.0,194,590
2020-03-31,Cooperativa,False,8512165881.57,562452.0,428,1680
2020-03-31,Cooperativa,True,34831149.69,1245.0,98,152
2020-03-31,Desenvolvimento/Fomento,False,13031797569.77,15230.0,137,473
2020-03-31,Desenvolvimento/Fomento,True,240866526.18,189.0,30,37
2020-03-31,Financeira,False,687495876.02,14226.0,140,277
2020-03-31,Financeira,True,1468236.77,19.0,15,18
2020-03-31,Fintech,False,5390303.79,25.0,20,22
2020-03-31,Outros,False,10652051.030000001,75.0,30,32
2020-04-30,Arrendamento,False,533541453.52,1040.0,75,113
2020-04-30,Arrendamento,True,7648428.22,19.0,11,14
2020-04-30,Banco,False,82826761693.04,1299234.0,809,3333
2020-04-30,Banco,True,2160159839.79,88088.0,189,595
2020-04-30,Cooperativa,False,8656013107.14,501632.0,452,1731
2020-04-30,Cooperativa,True,136582439.63,13371.0,117,213
2020-04-30,Desenvolvimento/Fomento,False,12918560921.08,15120.0,139,482
2020-04-30,Desenvolvimento/Fomento,True,244699545.07999998,183.0,27,34
2020-04-30,Financeira,False,674514672.36,14147.0,156,292
2020-04-30,Financeira,True,1337165.49,6.0,15,16
2020-04-30,Fintech,False,5662345.46,25.0,21,23
2020-04-30,Fintech,True,32312.71,0.0,1,1
2020-04-30,Outros,False,10671450.22,37.0,29,30
2020-05-31,Arrendamento,False,495863601.1,975.0,72,110
2020-05-31,Arrendamento,True,7290840.78,16.0,11,14
2020-05-31,Banco,False,81957001707.88,1246371.0,797,3334
2020-05-31,Banco,True,2307706080.43,90289.0,182,598
2020-05-31,Cooperativa,False,8643370747.27,463197.0,438,1740
2020-05-31,Cooperativa,True,293123292.74,25111.0,117,236
2020-05-31,Desenvolvimento/Fomento,False,13032383827.44,15448.0,144,527
2020-05-31,Desenvolvimento/Fomento,True,251305909.11,180.0,28,37
2020-05-31,Financeira,False,662813174.13,16569.0,159,295
2020-05-31,Financeira,True,1431255.98,12.0,14,16
2020-05-31,Fintech,False,5565490.19,25.0,22,24
2020-05-31,Fintech,True,33160.75,0.0,1,1
2020-05-31,Outros,False,11688563.42,40.0,40,42
2020-06-30,Arrendamento,False,483317962.65,958.0,71,108
2020-06-30,Arrendamento,True,7235773.37,10.0,12,14
2020-06-30,Banco,False,82843070958.74,1212224.0,793,3314
2020-06-30,Banco,True,2356814212.87,86379.0,196,613
2020-06-30,Cooperativa,False,8820467061.14,434044.0,436,1747
2020-06-30,Cooperativa,True,435120459.01,39800.0,114,260
2020-06-30,Desenvolvimento/Fomento,False,12992352395.04,15290.0,151,534
2020-06-30,Desenvolvimento/Fomento,True,268165731.01999998,180.0,27,35
2020-06-30,Financeira,False,684708942.5699999,18738.0,157,293
2020-06-30,Financeira,True,1365282.98,12.0,15,17
2020-06-30,Fintech,False,5625953.17,27.0,25,27
2020-06-30,Fintech,True,32133.52,0.0,1,1
2020-06-30,Outros,False,11580394.12,32.0,42,44
2020-07-31,Arrendamento,False,481603866.42,989.0,69,108
2020-07-31,Arrendamento,True,5154646.14,0.0,6,6
2020-07-31,Banco,False,85444754158.93,1240046.0,814,3371
2020-07-31,Banco,True,1588007274.64,39909.0,199,506
2020-07-31,Cooperativa,False,9379349341.61,452006.0,448,1752
2020-07-31,Cooperativa,True,313842808.4,17646.0,141,249
2020-07-31,Desenvolvimento/Fomento,False,12856452311.04,15427.0,166,541
2020-07-31,Desenvolvimento/Fomento,True,272521064.66,180.0,25,33
2020-07-31,Financeira,False,576380020.0,17246.0,163,303
2020-07-31,Financeira,True,1181854.2,6.0,15,16
2020-07-31,Fintech,False,5655464.66,34.0,25,28
2020-07-31,Fintech,True,31106.19,0.0,1,1
2020-07-31,Outros,False,11664572.16,21.0,46,48
2020-08-31,Arrendamento,False,446701223.58,967.0,73,111
2020-08-31,Arrendamento,True,6920888.46,0.0,8,8
2020-08-31,Banco,False,88188697020.92,1241800.0,842,3391
2020-08-31,Banco,True,1541170668.77,32416.0,189,480
2020-08-31,Cooperativa,False,9307870379.91,415167.0,421,1734
2020-08-31,Cooperativa,True,602362774.03,53180.0,140,298
2020-08-31,Desenvolvimento/Fomento,False,12933768638.67,16000.0,161,558
2020-08-31,Desenvolvimento/Fomento,True,288663666.96,187.0,23,31
2020-08-31,Financeira,False,574685590.69,18323.0,181,318
2020-08-31,Financeira,True,948445.81,6.0,13,14
2020-08-31,Fintech,False,5897448.95,63.0,24,28
2020-08-31,Fintech,True,30051.89,0.0,1,1
2020-08-31,Outros,False,12768299.52,27.0,44,46
2020-09-30,Arrendamento,False,441713941.12,983.0,74,113
2020-09-30,Arrendamento,True,4999012.95,0.0,6,6
2020-09-30,Banco,False,91622196147.85,1249097.0,823,3412
2020-09-30,Banco,True,1511586379.32,29899.0,195,443
2020-09-30,Cooperativa,False,10382485923.67,452902.0,452,1756
2020-09-30,Cooperativa,True,399190650.67,19634.0,139,253
2020-09-30,Desenvolvimento/Fomento,False,13298474942.16,16403.0,164,554
2020-09-30,Desenvolvimento/Fomento,True,294050563.63,186.0,21,29
2020-09-30,Financeira,False,596456762.27,18952.0,180,320
2020-09-30,Financeira,True,1167830.13,0.0,15,15
2020-09-30,Fintech,False,6627027.8,98.0,26,31
2020-09-30,Fintech,True,25681.59,0.0,1,1
2020-09-30,Outros,False,13088271.129999999,31.0,42,44
2020-10-31,Arrendamento,False,441734758.1,979.0,72,112
2020-10-31,Arrendamento,True,4787740.5200000005,0.0,5,5
2020-10-31,Banco,False,93654965157.38,1280500.0,823,3415
2020-10-31,Banco,True,1573907777.12,29349.0,186,446
